#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Ndjamena	Chad	1092066	12.11°N	12.11	N	15.05°E	15.05	E
Brazzaville	Congo	1557533	4.25°S	4.25	S	15.26°E	15.26	E
Kinshasa	Congo (Dem. Rep.)	9463749	4.31°S	4.31	S	15.32°E	15.32	E
Zagreb	Croatia	685799	45.80°N	45.8	N	15.97°E	15.97	E
Vienna	Austria	1726412	48.22°N	48.22	N	16.37°E	16.37	E
Poznań	Poland	549403	52.40°N	52.4	N	16.90°E	16.9	E
Wrocław	Poland	627562	51.11°N	51.11	N	17.03°E	17.03	E
Stockholm	Sweden	1293176	59.33°N	59.33	N	18.07°E	18.07	E
Cape Town	South Africa	3795539	33.93°S	33.93	S	18.46°E	18.46	E
Bangui	Central African Republic	734350	4.36°N	4.36	N	18.56°E	18.56	E
Budapest	Hungary	1619353	47.51°N	47.51	N	19.08°E	19.08	E
Lodz	Poland	725658	51.77°N	51.77	N	19.46°E	19.46	E
Tirana	Albania	587135	41.33°N	41.33	N	19.82°E	19.82	E
Cracow	Poland	754095	50.06°N	50.06	N	19.96°E	19.96	E
Bangazi	Libya	632937	32.11°N	32.11	N	20.08°E	20.08	E
Belgrade	Serbia	1094963	44.83°N	44.83	N	20.50°E	20.5	E
Tshikapa	Congo (Dem. Rep.)	587548	6.41°S	6.41	S	20.77°E	20.77	E
Warsaw	Poland	1713007	52.26°N	52.26	N	21.02°E	21.02	E
Kananga	Congo (Dem. Rep.)	1061181	5.89°S	5.89	S	22.40°E	22.4	E
Sofia	Bulgaria	1118364	42.69°N	42.69	N	23.31°E	23.31	E
Mbuji-Mayi	Congo (Dem. Rep.)	1680991	6.13°S	6.13	S	23.59°E	23.59	E
Athens	Greece	762698	37.98°N	37.98	N	23.73°E	23.73	E
Lviv	Ukraine	733856	49.83°N	49.83	N	24.00°E	24	E
Riga	Latvia	693919	56.97°N	56.97	N	24.13°E	24.13	E
Helsinki	Finland	583331	60.17°N	60.17	N	24.94°E	24.94	E
Kisangani	Congo (Dem. Rep.)	935977	0.53°N	0.53	N	25.19°E	25.19	E
Vilnius	Lithuania	540608	54.70°N	54.7	N	25.27°E	25.27	E
Port Elizabeth	South Africa	1258780	33.96°S	33.96	S	25.59°E	25.59	E
Bucharest	Romania	1910531	44.44°N	44.44	N	26.10°E	26.1	E
Bloemfontein	South Africa	664821	29.15°S	29.15	S	26.23°E	26.23	E
Welkom	South Africa	667288	27.97°S	27.97	S	26.73°E	26.73	E
İzmir	Turkey	2914439	38.43°N	38.43	N	27.15°E	27.15	E
Lubumbashi	Congo (Dem. Rep.)	1786397	11.66°S	11.66	S	27.48°E	27.48	E
Minsk	Belarus	1877604	53.91°N	53.91	N	27.55°E	27.55	E
Soweto	South Africa	1895921	26.28°S	26.28	S	27.84°E	27.84	E
Johannesburg	South Africa	2124874	26.19°S	26.19	S	28.04°E	28.04	E
Tembisa	South Africa	655693	25.99°S	25.99	S	28.22°E	28.22	E
Pretoria	South Africa	1815889	25.73°S	25.73	S	28.22°E	28.22	E
Kitwe	Zambia	561524	12.81°S	12.81	S	28.22°E	28.22	E
Boksburg	South Africa	520980	26.27°S	26.27	S	28.23°E	28.23	E
Lusaka	Zambia	1525578	15.42°S	15.42	S	28.29°E	28.29	E
Benoni	South Africa	729952	26.15°S	26.15	S	28.33°E	28.33	E
Bulawayo	Zimbabwe	766500	20.17°S	20.17	S	28.58°E	28.58	E
Ndola	Zambia	517975	12.97°S	12.97	S	28.64°E	28.64	E
Chisinau	Moldova	554585	47.03°N	47.03	N	28.83°E	28.83	E
